,report_date,bond,bond_yield
15962,2023-03-31,ZARGB2,8.4
15969,2023-03-31,ZARGB30,11.573
15973,2023-03-31,REPO,7.75
15972,2023-03-31,SATB9M,8.44
15963,2023-03-31,ZARGB3,8.412
15971,2023-03-31,SATB6M,8.35
15970,2023-03-31,SATB3M,7.48
16083,2023-03-31,R2053,11.66
15968,2023-03-31,ZARGB25,11.609
15967,2023-03-31,ZARGB20,11.569
15964,2023-03-31,ZARGB5,8.989
15965,2023-03-31,ZARGB10,10.657
15966,2023-03-31,ZARGB15,11.397
15938,2023-03-30,R2040,11.65
15930,2023-03-30,SATB12M,7.871
15931,2023-03-30,R186,8.45
15932,2023-03-30,R2030,9.915
15933,2023-03-30,R213,10.33
15934,2023-03-30,R2032,10.59
15935,2023-03-30,R2035,11.15
15937,2023-03-30,R2037,11.425
15936,2023-03-30,R209,11.185
15939,2023-03-30,R214,11.505
15946,2023-03-30,ZARGB15,11.511
15949,2023-03-30,ZARGB30,11.663
15948,2023-03-30,ZARGB25,11.724
15941,2023-03-30,R2048,11.725
15947,2023-03-30,ZARGB20,11.696
15940,2023-03-30,R2044,11.775
15945,2023-03-30,ZARGB10,10.78
15944,2023-03-30,ZARGB5,9.047
15943,2023-03-30,ZARGB3,8.295
15942,2023-03-30,ZARGB2,8.083
15911,2023-03-29,R186,8.29
15912,2023-03-29,R2030,9.805
15913,2023-03-29,R213,10.275
15915,2023-03-29,R2035,11.21
15916,2023-03-29,R209,11.235
15917,2023-03-29,R2037,11.48
15918,2023-03-29,R2040,11.74
15910,2023-03-29,SATB12M,7.871
15914,2023-03-29,R2032,10.52
15919,2023-03-29,R214,11.59
15926,2023-03-29,ZARGB15,11.579
15920,2023-03-29,R2044,11.85
15929,2023-03-29,ZARGB30,11.772
15928,2023-03-29,ZARGB25,11.814
15927,2023-03-29,ZARGB20,11.774
15921,2023-03-29,R2048,11.815
15925,2023-03-29,ZARGB10,10.753
15922,2023-03-29,ZARGB2,8.024
15924,2023-03-29,ZARGB5,8.906
15923,2023-03-29,ZARGB3,8.177
15909,2023-03-28,ZARGB30,11.596
15898,2023-03-28,R2040,11.72
15890,2023-03-28,SATB12M,7.871
15891,2023-03-28,R186,8.36
15892,2023-03-28,R2030,9.89
15893,2023-03-28,R213,10.355
15908,2023-03-28,ZARGB25,11.719
15895,2023-03-28,R2035,11.24
15897,2023-03-28,R2037,11.52
15894,2023-03-28,R2032,10.6
15899,2023-03-28,R214,11.57
15904,2023-03-28,ZARGB5,8.98
15907,2023-03-28,ZARGB20,11.746
15900,2023-03-28,R2044,11.82
15906,2023-03-28,ZARGB15,11.596
15905,2023-03-28,ZARGB10,10.816
15896,2023-03-28,R209,11.265
15903,2023-03-28,ZARGB3,8.228
15902,2023-03-28,ZARGB2,8.05
15901,2023-03-28,R2048,11.72
15871,2023-03-27,R186,8.325
15872,2023-03-27,R2030,9.91
15873,2023-03-27,R213,10.36
15874,2023-03-27,R2032,10.59
15875,2023-03-27,R2035,11.23
15876,2023-03-27,R209,11.265
15879,2023-03-27,R214,11.575
15877,2023-03-27,R2037,11.52
15870,2023-03-27,SATB12M,7.871
15878,2023-03-27,R2040,11.73
15880,2023-03-27,R2044,11.83
15887,2023-03-27,ZARGB20,11.755
15881,2023-03-27,R2048,11.72
15889,2023-03-27,ZARGB30,11.584
15888,2023-03-27,ZARGB25,11.718
15882,2023-03-27,ZARGB2,8.037
15886,2023-03-27,ZARGB15,11.6
15884,2023-03-27,ZARGB5,8.966
15883,2023-03-27,ZARGB3,8.202
15885,2023-03-27,ZARGB10,10.805
15856,2023-03-24,R2044,11.81
15846,2023-03-24,SATB12M,7.871
15847,2023-03-24,R186,8.325
15848,2023-03-24,R2030,9.925
15849,2023-03-24,R213,10.35
15850,2023-03-24,R2032,10.58
15851,2023-03-24,R2035,11.205
15852,2023-03-24,R209,11.25
15853,2023-03-24,R2037,11.5
15854,2023-03-24,R2040,11.69
15855,2023-03-24,R214,11.545
15858,2023-03-24,ZARGB2,8.036
15857,2023-03-24,R2048,11.67
15859,2023-03-24,ZARGB3,8.201
15860,2023-03-24,ZARGB5,8.968
15862,2023-03-24,ZARGB15,11.572
15863,2023-03-24,ZARGB20,11.731
15864,2023-03-24,ZARGB25,11.668
15865,2023-03-24,ZARGB30,11.497
15866,2023-03-24,SATB3M,7.31
15867,2023-03-24,SATB6M,8.04
15868,2023-03-24,SATB9M,8.08
15869,2023-03-24,REPO,7.25
15861,2023-03-24,ZARGB10,10.789
15831,2023-03-23,R2035,11.14
15833,2023-03-23,R2037,11.435
15845,2023-03-23,ZARGB30,11.428
15844,2023-03-23,ZARGB25,11.593
15843,2023-03-23,ZARGB20,11.651
15842,2023-03-23,ZARGB15,11.505
15841,2023-03-23,ZARGB10,10.753
15840,2023-03-23,ZARGB5,8.995
15839,2023-03-23,ZARGB3,8.214
15838,2023-03-23,ZARGB2,8.025
15837,2023-03-23,R2048,11.595
15836,2023-03-23,R2044,11.73
15835,2023-03-23,R214,11.465
15832,2023-03-23,R209,11.185
15834,2023-03-23,R2040,11.62
15830,2023-03-23,R2032,10.56
15829,2023-03-23,R213,10.335
15828,2023-03-23,R2030,9.95
15827,2023-03-23,R186,8.355
15826,2023-03-23,SATB12M,7.837
15816,2023-03-22,R2044,11.745
15806,2023-03-22,SATB12M,7.837
15807,2023-03-22,R186,8.37
15808,2023-03-22,R2030,9.98
15809,2023-03-22,R213,10.36
15810,2023-03-22,R2032,10.59
15811,2023-03-22,R2035,11.17
15812,2023-03-22,R209,11.205
15813,2023-03-22,R2037,11.45
15815,2023-03-22,R214,11.48
15814,2023-03-22,R2040,11.63
15817,2023-03-22,R2048,11.615
15821,2023-03-22,ZARGB10,10.782
15824,2023-03-22,ZARGB25,11.614
15823,2023-03-22,ZARGB20,11.666
15822,2023-03-22,ZARGB15,11.518
15825,2023-03-22,ZARGB30,11.454
15820,2023-03-22,ZARGB5,9.014
15819,2023-03-22,ZARGB3,8.224
15818,2023-03-22,ZARGB2,8.031
15796,2023-03-21,R2044,11.74
15786,2023-03-21,SATB12M,7.837
15787,2023-03-21,R186,8.32
15788,2023-03-21,R2030,9.935
15789,2023-03-21,R213,10.305
15790,2023-03-21,R2032,10.54
15791,2023-03-21,R2035,11.15
15792,2023-03-21,R209,11.185
15794,2023-03-21,R2040,11.61
15795,2023-03-21,R214,11.47
15793,2023-03-21,R2037,11.43
15797,2023-03-21,R2048,11.605
15801,2023-03-21,ZARGB10,10.742
15804,2023-03-21,ZARGB25,11.604
15803,2023-03-21,ZARGB20,11.659
15802,2023-03-21,ZARGB15,11.497
15805,2023-03-21,ZARGB30,11.438
15800,2023-03-21,ZARGB5,8.965
15799,2023-03-21,ZARGB3,8.187
15798,2023-03-21,ZARGB2,8.012
15766,2023-03-20,SATB12M,7.837
15776,2023-03-20,R2044,11.74
15767,2023-03-20,R186,8.32
15768,2023-03-20,R2030,9.935
15769,2023-03-20,R213,10.305
15770,2023-03-20,R2032,10.54
15771,2023-03-20,R2035,11.15
15772,2023-03-20,R209,11.185
15773,2023-03-20,R2037,11.43
15774,2023-03-20,R2040,11.61
15775,2023-03-20,R214,11.47
15777,2023-03-20,R2048,11.605
15779,2023-03-20,ZARGB3,8.187
15780,2023-03-20,ZARGB5,8.963
15781,2023-03-20,ZARGB10,10.741
15782,2023-03-20,ZARGB15,11.497
15783,2023-03-20,ZARGB20,11.659
15784,2023-03-20,ZARGB25,11.604
15785,2023-03-20,ZARGB30,11.438
15778,2023-03-20,ZARGB2,8.012
15747,2023-03-17,R2035,11.24
15752,2023-03-17,R2044,11.81
15751,2023-03-17,R214,11.54
15750,2023-03-17,R2040,11.685
15749,2023-03-17,R2037,11.53
15742,2023-03-17,SATB12M,7.837
15746,2023-03-17,R2032,10.65
15745,2023-03-17,R213,10.405
15744,2023-03-17,R2030,10.025
15743,2023-03-17,R186,8.4
15754,2023-03-17,ZARGB2,8.04
15753,2023-03-17,R2048,11.675
15748,2023-03-17,R209,11.28
15755,2023-03-17,ZARGB3,8.244
15760,2023-03-17,ZARGB25,11.674
15765,2023-03-17,REPO,7.25
15763,2023-03-17,SATB6M,8.02
15762,2023-03-17,SATB3M,7.33
15761,2023-03-17,ZARGB30,11.509
15764,2023-03-17,SATB9M,8.0
15756,2023-03-17,ZARGB5,9.043
15759,2023-03-17,ZARGB20,11.728
15758,2023-03-17,ZARGB15,11.587
15757,2023-03-17,ZARGB10,10.843
15731,2023-03-16,R214,11.665
15722,2023-03-16,SATB12M,7.882
15723,2023-03-16,R186,8.43
15724,2023-03-16,R2030,10.085
15725,2023-03-16,R213,10.48
15726,2023-03-16,R2032,10.72
15727,2023-03-16,R2035,11.35
15728,2023-03-16,R209,11.38
15729,2023-03-16,R2037,11.655
15730,2023-03-16,R2040,11.83
15733,2023-03-16,R2048,11.825
15732,2023-03-16,R2044,11.94
15737,2023-03-16,ZARGB10,10.925
15740,2023-03-16,ZARGB25,11.824
15739,2023-03-16,ZARGB20,11.856
15738,2023-03-16,ZARGB15,11.72
15741,2023-03-16,ZARGB30,11.683
15736,2023-03-16,ZARGB5,9.084
15735,2023-03-16,ZARGB3,8.278
15734,2023-03-16,ZARGB2,8.08
15712,2023-03-15,R2044,11.935
15703,2023-03-15,R186,8.41
15704,2023-03-15,R2030,10.04
15705,2023-03-15,R213,10.44
15706,2023-03-15,R2032,10.68
15707,2023-03-15,R2035,11.33
15708,2023-03-15,R209,11.355
15702,2023-03-15,SATB12M,7.882
15710,2023-03-15,R2040,11.81
15711,2023-03-15,R214,11.66
15709,2023-03-15,R2037,11.585
15713,2023-03-15,R2048,11.815
15715,2023-03-15,ZARGB3,8.263
15716,2023-03-15,ZARGB5,9.052
15717,2023-03-15,ZARGB10,10.891
15718,2023-03-15,ZARGB15,11.668
15719,2023-03-15,ZARGB20,11.851
15720,2023-03-15,ZARGB25,11.814
15721,2023-03-15,ZARGB30,11.667
15714,2023-03-15,ZARGB2,8.072
15686,2023-03-14,R2032,10.61
15690,2023-03-14,R2040,11.61
15689,2023-03-14,R2037,11.44
15687,2023-03-14,R2035,11.17
15682,2023-03-14,SATB12M,7.882
15685,2023-03-14,R213,10.39
15684,2023-03-14,R2030,10.0
15683,2023-03-14,R186,8.405
15692,2023-03-14,R2044,11.735
15691,2023-03-14,R214,11.47
15688,2023-03-14,R209,11.21
15693,2023-03-14,R2048,11.61
15698,2023-03-14,ZARGB15,11.503
15694,2023-03-14,ZARGB2,8.07
15700,2023-03-14,ZARGB25,11.609
15699,2023-03-14,ZARGB20,11.654
15701,2023-03-14,ZARGB30,11.456
15697,2023-03-14,ZARGB10,10.792
15696,2023-03-14,ZARGB5,9.032
15695,2023-03-14,ZARGB3,8.259
15673,2023-03-13,R2048,11.58
15666,2023-03-13,R2032,10.61
15667,2023-03-13,R2035,11.17
15668,2023-03-13,R209,11.2
15669,2023-03-13,R2037,11.425
15670,2023-03-13,R2040,11.59
15671,2023-03-13,R214,11.44
15672,2023-03-13,R2044,11.71
15678,2023-03-13,ZARGB15,11.486
15674,2023-03-13,ZARGB2,8.068
15675,2023-03-13,ZARGB3,8.255
15676,2023-03-13,ZARGB5,9.032
15677,2023-03-13,ZARGB10,10.791
15679,2023-03-13,ZARGB20,11.627
15680,2023-03-13,ZARGB25,11.579
15681,2023-03-13,ZARGB30,11.42
15664,2023-03-13,R2030,10.01
15665,2023-03-13,R213,10.395
15663,2023-03-13,R186,8.4
15662,2023-03-10,REPO,7.25
15650,2023-03-10,R2048,11.625
15639,2023-03-10,SATB12M,7.882
15640,2023-03-10,R186,8.545
15641,2023-03-10,R2030,10.16
15642,2023-03-10,R213,10.535
15643,2023-03-10,R2032,10.73
15644,2023-03-10,R2035,11.245
15645,2023-03-10,R209,11.275
15647,2023-03-10,R2040,11.645
15648,2023-03-10,R214,11.5
15649,2023-03-10,R2044,11.745
15646,2023-03-10,R2037,11.495
15651,2023-03-10,ZARGB2,8.12
15657,2023-03-10,ZARGB25,11.625
15661,2023-03-10,SATB9M,8.09
15660,2023-03-10,SATB6M,8.07
15652,2023-03-10,ZARGB3,8.358
15658,2023-03-10,ZARGB30,11.478
15659,2023-03-10,SATB3M,7.28
15656,2023-03-10,ZARGB20,11.669
15655,2023-03-10,ZARGB15,11.55
15654,2023-03-10,ZARGB10,10.895
15653,2023-03-10,ZARGB5,9.174
15619,2023-03-09,SATB12M,7.904
15629,2023-03-09,R2044,11.72
15620,2023-03-09,R186,8.59
15621,2023-03-09,R2030,10.17
15622,2023-03-09,R213,10.545
15623,2023-03-09,R2032,10.75
15624,2023-03-09,R2035,11.23
15625,2023-03-09,R209,11.265
15626,2023-03-09,R2037,11.48
15628,2023-03-09,R214,11.475
15627,2023-03-09,R2040,11.62
15630,2023-03-09,R2048,11.585
15635,2023-03-09,ZARGB15,11.531
15638,2023-03-09,ZARGB30,11.419
15637,2023-03-09,ZARGB25,11.585
15636,2023-03-09,ZARGB20,11.644
15631,2023-03-09,ZARGB2,8.15
15634,2023-03-09,ZARGB10,10.903
15633,2023-03-09,ZARGB5,9.204
15632,2023-03-09,ZARGB3,8.396
15599,2023-03-08,SATB12M,7.904
15609,2023-03-08,R2044,11.69
15601,2023-03-08,R2030,10.15
15602,2023-03-08,R213,10.52
15603,2023-03-08,R2032,10.72
15604,2023-03-08,R2035,11.2
15605,2023-03-08,R209,11.24
15606,2023-03-08,R2037,11.45
15607,2023-03-08,R2040,11.59
15608,2023-03-08,R214,11.45
15600,2023-03-08,R186,8.585
15610,2023-03-08,R2048,11.56
15611,2023-03-08,ZARGB2,8.148
15613,2023-03-08,ZARGB5,9.192
15614,2023-03-08,ZARGB10,10.873
15615,2023-03-08,ZARGB15,11.501
15616,2023-03-08,ZARGB20,11.615
15617,2023-03-08,ZARGB25,11.56
15618,2023-03-08,ZARGB30,11.4
15612,2023-03-08,ZARGB3,8.392
15584,2023-03-07,R2035,11.21
15587,2023-03-07,R2040,11.61
15586,2023-03-07,R2037,11.465
15585,2023-03-07,R209,11.245
15589,2023-03-07,R2044,11.705
15583,2023-03-07,R2032,10.69
15582,2023-03-07,R213,10.49
15581,2023-03-07,R2030,10.115
15580,2023-03-07,R186,8.515
15588,2023-03-07,R214,11.46
15579,2023-03-07,SATB12M,7.904
15590,2023-03-07,R2048,11.56
15595,2023-03-07,ZARGB15,11.517
15598,2023-03-07,ZARGB30,11.382
15597,2023-03-07,ZARGB25,11.56
15596,2023-03-07,ZARGB20,11.628
15591,2023-03-07,ZARGB2,8.123
15594,2023-03-07,ZARGB10,10.855
15593,2023-03-07,ZARGB5,9.134
15592,2023-03-07,ZARGB3,8.341
15568,2023-03-06,R214,11.315
15559,2023-03-06,SATB12M,7.904
15560,2023-03-06,R186,8.525
15561,2023-03-06,R2030,10.095
15562,2023-03-06,R213,10.455
15563,2023-03-06,R2032,10.65
15564,2023-03-06,R2035,11.1
15565,2023-03-06,R209,11.135
15566,2023-03-06,R2037,11.345
15567,2023-03-06,R2040,11.45
15569,2023-03-06,R2044,11.53
15571,2023-03-06,ZARGB2,8.126
15572,2023-03-06,ZARGB3,8.348
15573,2023-03-06,ZARGB5,9.131
15574,2023-03-06,ZARGB10,10.793
15575,2023-03-06,ZARGB15,11.383
15576,2023-03-06,ZARGB20,11.462
15577,2023-03-06,ZARGB25,11.405
15578,2023-03-06,ZARGB30,11.252
15570,2023-03-06,R2048,11.405
15547,2023-03-03,ZARGB2,8.134
15541,2023-03-03,R209,11.165
15545,2023-03-03,R2044,11.555
15544,2023-03-03,R214,11.34
15543,2023-03-03,R2040,11.465
15535,2023-03-03,SATB12M,7.904
15536,2023-03-03,R186,8.55
15540,2023-03-03,R2035,11.14
15539,2023-03-03,R2032,10.685
15538,2023-03-03,R213,10.48
15537,2023-03-03,R2030,10.125
15546,2023-03-03,R2048,11.43
15542,2023-03-03,R2037,11.375
15548,2023-03-03,ZARGB3,8.365
15554,2023-03-03,ZARGB30,11.277
15549,2023-03-03,ZARGB5,9.154
15557,2023-03-03,SATB9M,8.09
15556,2023-03-03,SATB6M,8.02
15555,2023-03-03,SATB3M,7.11
15558,2023-03-03,REPO,7.25
15553,2023-03-03,ZARGB25,11.43
15552,2023-03-03,ZARGB20,11.487
15551,2023-03-03,ZARGB15,11.407
15550,2023-03-03,ZARGB10,10.828
15525,2023-03-02,R2044,11.595
15515,2023-03-02,SATB12M,7.916
15516,2023-03-02,R186,8.585
15517,2023-03-02,R2030,10.16
15518,2023-03-02,R213,10.515
15519,2023-03-02,R2032,10.71
15520,2023-03-02,R2035,11.18
15522,2023-03-02,R2037,11.425
15523,2023-03-02,R2040,11.52
15524,2023-03-02,R214,11.385
15521,2023-03-02,R209,11.215
15526,2023-03-02,R2048,11.475
15528,2023-03-02,ZARGB3,8.392
15529,2023-03-02,ZARGB5,9.188
15530,2023-03-02,ZARGB10,10.857
15531,2023-03-02,ZARGB15,11.459
15532,2023-03-02,ZARGB20,11.528
15533,2023-03-02,ZARGB25,11.475
15534,2023-03-02,ZARGB30,11.328
15527,2023-03-02,ZARGB2,8.154
15501,2023-03-01,R209,11.145
15504,2023-03-01,R214,11.335
15503,2023-03-01,R2040,11.46
15502,2023-03-01,R2037,11.36
15497,2023-03-01,R2030,10.08
15500,2023-03-01,R2035,11.13
15499,2023-03-01,R2032,10.66
15498,2023-03-01,R213,10.445
15506,2023-03-01,R2048,11.41
15505,2023-03-01,R2044,11.525
15511,2023-03-01,ZARGB15,11.396
15507,2023-03-01,ZARGB2,8.138
15508,2023-03-01,ZARGB3,8.36
15509,2023-03-01,ZARGB5,9.128
15510,2023-03-01,ZARGB10,10.807
15512,2023-03-01,ZARGB20,11.464
15513,2023-03-01,ZARGB25,11.41
15514,2023-03-01,ZARGB30,11.269
15495,2023-03-01,SATB12M,7.916
15496,2023-03-01,R186,8.54
15494,2023-02-28,REPO,7.25
15492,2023-02-28,SATB6M,7.99
15493,2023-02-28,SATB9M,8.08
15484,2023-02-28,ZARGB3,8.367
15480,2023-02-28,R214,11.37
15470,2023-02-28,SATB12M,7.916
15471,2023-02-28,R2023,7.55
15472,2023-02-28,R186,8.55
15473,2023-02-28,R2030,10.095
15474,2023-02-28,R213,10.47
15476,2023-02-28,R2035,11.17
15477,2023-02-28,R209,11.185
15478,2023-02-28,R2037,11.405
15479,2023-02-28,R2040,11.51
15475,2023-02-28,R2032,10.68
15481,2023-02-28,R2044,11.56
15488,2023-02-28,ZARGB20,11.499
15491,2023-02-28,SATB3M,6.78
15485,2023-02-28,ZARGB5,9.138
15486,2023-02-28,ZARGB10,10.832
15487,2023-02-28,ZARGB15,11.442
15483,2023-02-28,ZARGB2,8.141
15482,2023-02-28,R2048,11.44
15489,2023-02-28,ZARGB25,11.44
15490,2023-02-28,ZARGB30,11.293
15459,2023-02-27,R214,11.37
15450,2023-02-27,R2023,7.55
15451,2023-02-27,R186,8.565
15452,2023-02-27,R2030,10.05
15453,2023-02-27,R213,10.435
15454,2023-02-27,R2032,10.66
15455,2023-02-27,R2035,11.16
15456,2023-02-27,R209,11.185
15457,2023-02-27,R2037,11.41
15449,2023-02-27,SATB12M,7.916
15458,2023-02-27,R2040,11.49
15460,2023-02-27,R2044,11.555
15462,2023-02-27,ZARGB2,8.146
15463,2023-02-27,ZARGB3,8.377
15464,2023-02-27,ZARGB5,9.129
15465,2023-02-27,ZARGB10,10.815
15466,2023-02-27,ZARGB15,11.438
15467,2023-02-27,ZARGB20,11.496
15468,2023-02-27,ZARGB25,11.446
15469,2023-02-27,ZARGB30,11.311
15461,2023-02-27,R2048,11.445
15430,2023-02-24,R2035,11.17
15433,2023-02-24,R2040,11.48
15432,2023-02-24,R2037,11.41
15431,2023-02-24,R209,11.2
15425,2023-02-24,R2023,7.55
15429,2023-02-24,R2032,10.71
15428,2023-02-24,R213,10.49
15427,2023-02-24,R2030,10.115
15426,2023-02-24,R186,8.625
15435,2023-02-24,R2044,11.535
15434,2023-02-24,R214,11.36
15441,2023-02-24,ZARGB15,11.435
15436,2023-02-24,R2048,11.425
15437,2023-02-24,ZARGB2,8.167
15438,2023-02-24,ZARGB3,8.418
15440,2023-02-24,ZARGB10,10.851
15442,2023-02-24,ZARGB20,11.478
15443,2023-02-24,ZARGB25,11.426
15444,2023-02-24,ZARGB30,11.291
15445,2023-02-24,SATB3M,6.78
15446,2023-02-24,SATB6M,7.99
15447,2023-02-24,SATB9M,8.08
15448,2023-02-24,REPO,7.25
15424,2023-02-24,SATB12M,7.916
15439,2023-02-24,ZARGB5,9.187
15405,2023-02-23,R186,8.535
15414,2023-02-23,R2044,11.64
15403,2023-02-23,SATB12M,7.916
15404,2023-02-23,R2023,7.55
15406,2023-02-23,R2030,10.1
15407,2023-02-23,R213,10.485
15408,2023-02-23,R2032,10.71
15410,2023-02-23,R209,11.26
15411,2023-02-23,R2037,11.465
15412,2023-02-23,R2040,11.59
15413,2023-02-23,R214,11.455
15409,2023-02-23,R2035,11.22
15415,2023-02-23,R2048,11.53
15417,2023-02-23,ZARGB3,8.354
15418,2023-02-23,ZARGB5,9.124
15419,2023-02-23,ZARGB10,10.866
15420,2023-02-23,ZARGB15,11.509
15421,2023-02-23,ZARGB20,11.58
15422,2023-02-23,ZARGB25,11.531
15423,2023-02-23,ZARGB30,11.396
15416,2023-02-23,ZARGB2,8.135
15386,2023-02-22,R213,10.525
15390,2023-02-22,R2037,11.55
15389,2023-02-22,R209,11.325
15388,2023-02-22,R2035,11.28
15387,2023-02-22,R2032,10.75
15382,2023-02-22,SATB12M,7.916
15385,2023-02-22,R2030,10.14
15384,2023-02-22,R186,8.52
15383,2023-02-22,R2023,7.55
15392,2023-02-22,R214,11.545
15391,2023-02-22,R2040,11.68
15398,2023-02-22,ZARGB10,10.912
15393,2023-02-22,R2044,11.745
15399,2023-02-22,ZARGB15,11.595
15394,2023-02-22,R2048,11.635
15401,2023-02-22,ZARGB25,11.636
15400,2023-02-22,ZARGB20,11.68
15402,2023-02-22,ZARGB30,11.501
15397,2023-02-22,ZARGB5,9.128
15396,2023-02-22,ZARGB3,8.343
15395,2023-02-22,ZARGB2,8.129
15372,2023-02-21,R2044,11.82
15381,2023-02-21,ZARGB30,11.576
15380,2023-02-21,ZARGB25,11.711
15379,2023-02-21,ZARGB20,11.756
15378,2023-02-21,ZARGB15,11.679
15377,2023-02-21,ZARGB10,10.991
15376,2023-02-21,ZARGB5,9.223
15375,2023-02-21,ZARGB3,8.413
15374,2023-02-21,ZARGB2,8.165
15373,2023-02-21,R2048,11.71
15371,2023-02-21,R214,11.625
15361,2023-02-21,SATB12M,7.916
15369,2023-02-21,R2037,11.63
15368,2023-02-21,R209,11.41
15367,2023-02-21,R2035,11.36
15366,2023-02-21,R2032,10.83
15365,2023-02-21,R213,10.61
15364,2023-02-21,R2030,10.23
15363,2023-02-21,R186,8.62
15362,2023-02-21,R2023,7.55
15370,2023-02-21,R2040,11.77
15343,2023-02-20,R2030,10.165
15347,2023-02-20,R209,11.285
15346,2023-02-20,R2035,11.24
15345,2023-02-20,R2032,10.76
15344,2023-02-20,R213,10.54
15350,2023-02-20,R214,11.49
15342,2023-02-20,R186,8.6
15341,2023-02-20,R2023,7.55
15340,2023-02-20,SATB12M,7.916
15349,2023-02-20,R2040,11.63
15348,2023-02-20,R2037,11.51
15353,2023-02-20,ZARGB2,8.157
15351,2023-02-20,R2044,11.685
15352,2023-02-20,R2048,11.58
15354,2023-02-20,ZARGB3,8.398
15355,2023-02-20,ZARGB5,9.185
15356,2023-02-20,ZARGB10,10.906
15357,2023-02-20,ZARGB15,11.552
15358,2023-02-20,ZARGB20,11.621
15359,2023-02-20,ZARGB25,11.581
15360,2023-02-20,ZARGB30,11.452
15326,2023-02-17,R2044,11.6
15322,2023-02-17,R209,11.205
15325,2023-02-17,R214,11.405
15324,2023-02-17,R2040,11.54
15323,2023-02-17,R2037,11.425
15319,2023-02-17,R213,10.47
15318,2023-02-17,R2030,10.095
15317,2023-02-17,R186,8.555
15316,2023-02-17,R2023,7.455
15315,2023-02-17,SATB12M,7.916
15328,2023-02-17,ZARGB2,8.141
15327,2023-02-17,R2048,11.49
15320,2023-02-17,R2032,10.69
15329,2023-02-17,ZARGB3,8.365
15336,2023-02-17,SATB3M,6.69
15321,2023-02-17,R2035,11.16
15339,2023-02-17,REPO,7.25
15338,2023-02-17,SATB9M,8.0
15337,2023-02-17,SATB6M,7.93
15330,2023-02-17,ZARGB5,9.127
15335,2023-02-17,ZARGB30,11.356
15334,2023-02-17,ZARGB25,11.491
15333,2023-02-17,ZARGB20,11.535
15332,2023-02-17,ZARGB15,11.465
15331,2023-02-17,ZARGB10,10.831
15303,2023-02-16,R2040,11.52
15294,2023-02-16,SATB12M,7.904
15295,2023-02-16,R2023,7.465
15296,2023-02-16,R186,8.5
15297,2023-02-16,R2030,9.995
15298,2023-02-16,R213,10.39
15299,2023-02-16,R2032,10.61
15300,2023-02-16,R2035,11.09
15301,2023-02-16,R209,11.14
15302,2023-02-16,R2037,11.355
15310,2023-02-16,ZARGB10,10.754
15314,2023-02-16,ZARGB30,11.338
15305,2023-02-16,R2044,11.57
15306,2023-02-16,R2048,11.465
15307,2023-02-16,ZARGB2,8.113
15308,2023-02-16,ZARGB3,8.323
15309,2023-02-16,ZARGB5,9.054
15311,2023-02-16,ZARGB15,11.412
15312,2023-02-16,ZARGB20,11.509
15313,2023-02-16,ZARGB25,11.466
15304,2023-02-16,R214,11.385
15278,2023-02-15,R2032,10.59
15280,2023-02-15,R209,11.145
15279,2023-02-15,R2035,11.1
15277,2023-02-15,R213,10.37
15273,2023-02-15,SATB12M,7.904
15276,2023-02-15,R2030,9.97
15275,2023-02-15,R186,8.45
15274,2023-02-15,R2023,7.5
15282,2023-02-15,R2040,11.55
15281,2023-02-15,R2037,11.36
15289,2023-02-15,ZARGB10,10.742
15283,2023-02-15,R214,11.415
15290,2023-02-15,ZARGB15,11.425
15284,2023-02-15,R2044,11.62
15292,2023-02-15,ZARGB25,11.502
15291,2023-02-15,ZARGB20,11.552
15293,2023-02-15,ZARGB30,11.354
15288,2023-02-15,ZARGB5,9.011
15287,2023-02-15,ZARGB3,8.287
15286,2023-02-15,ZARGB2,8.096
15285,2023-02-15,R2048,11.5
15262,2023-02-14,R214,11.3
15252,2023-02-14,SATB12M,7.904
15255,2023-02-14,R2030,9.865
15256,2023-02-14,R213,10.275
15257,2023-02-14,R2032,10.48
15258,2023-02-14,R2035,10.95
15259,2023-02-14,R209,11.04
15260,2023-02-14,R2037,11.255
15261,2023-02-14,R2040,11.36
15267,2023-02-14,ZARGB5,8.915
15263,2023-02-14,R2044,11.48
15264,2023-02-14,R2048,11.36
15265,2023-02-14,ZARGB2,8.064
15266,2023-02-14,ZARGB3,8.224
15268,2023-02-14,ZARGB10,10.62
15269,2023-02-14,ZARGB15,11.291
15270,2023-02-14,ZARGB20,11.42
15271,2023-02-14,ZARGB25,11.362
15272,2023-02-14,ZARGB30,11.215
15254,2023-02-14,R186,8.36
15253,2023-02-14,R2023,7.5
15237,2023-02-13,R2035,10.99
15242,2023-02-13,R2044,11.48
15231,2023-02-13,SATB12M,7.904
15232,2023-02-13,R2023,7.5
15233,2023-02-13,R186,8.36
15234,2023-02-13,R2030,9.865
15235,2023-02-13,R213,10.275
15236,2023-02-13,R2032,10.5
15238,2023-02-13,R209,11.04
15239,2023-02-13,R2037,11.255
15240,2023-02-13,R2040,11.41
15241,2023-02-13,R214,11.3
15243,2023-02-13,R2048,11.36
15244,2023-02-13,ZARGB2,8.064
15245,2023-02-13,ZARGB3,8.223
15246,2023-02-13,ZARGB5,8.913
15247,2023-02-13,ZARGB10,10.646
15248,2023-02-13,ZARGB15,11.308
15249,2023-02-13,ZARGB20,11.42
15250,2023-02-13,ZARGB25,11.362
